date,cases,total_tests,County,pos_rate
2021-01-19,357.0,4075.0,Stanislaus,0.08760736196319019
2021-01-20,348.0,3276.0,Stanislaus,0.10622710622710622
2021-01-21,280.0,3787.0,Stanislaus,0.07393715341959335
2021-01-22,298.0,2915.0,Stanislaus,0.10222984562607204
2021-01-23,166.0,1095.0,Stanislaus,0.15159817351598173
2021-01-24,167.0,1110.0,Stanislaus,0.15045045045045044
2021-01-25,309.0,4599.0,Stanislaus,0.06718851924331376
2021-01-26,246.0,3871.0,Stanislaus,0.06354947042107982
2021-01-27,182.0,2472.0,Stanislaus,0.07362459546925566
2021-01-28,184.0,2833.0,Stanislaus,0.06494881750794211
2021-01-29,208.0,2647.0,Stanislaus,0.07857952398942199
2021-01-30,143.0,1052.0,Stanislaus,0.1359315589353612
2021-01-31,130.0,1048.0,Stanislaus,0.12404580152671756
2021-02-01,284.0,4675.0,Stanislaus,0.060748663101604275
2021-02-02,257.0,3603.0,Stanislaus,0.07132944768248682
2021-02-03,219.0,3100.0,Stanislaus,0.07064516129032258
2021-02-04,176.0,3275.0,Stanislaus,0.053740458015267174
2021-02-05,161.0,2615.0,Stanislaus,0.0615678776290631
2021-02-06,145.0,988.0,Stanislaus,0.14676113360323886
2021-02-07,96.0,865.0,Stanislaus,0.11098265895953757
2021-02-08,190.0,3999.0,Stanislaus,0.047511877969492376
2021-02-09,155.0,3347.0,Stanislaus,0.04631012847325964
2021-02-10,160.0,2870.0,Stanislaus,0.05574912891986063
2021-02-11,117.0,2672.0,Stanislaus,0.0437874251497006
2021-02-12,145.0,2080.0,Stanislaus,0.06971153846153846
2021-02-13,88.0,874.0,Stanislaus,0.10068649885583524
2021-02-14,71.0,615.0,Stanislaus,0.11544715447154472
2021-02-15,110.0,2206.0,Stanislaus,0.04986400725294651
2021-02-16,127.0,3519.0,Stanislaus,0.03608979823813584
2021-02-17,124.0,2818.0,Stanislaus,0.0440028388928318
2021-02-18,113.0,2359.0,Stanislaus,0.047901653242899536
2021-02-19,100.0,1926.0,Stanislaus,0.05192107995846314
2021-02-20,62.0,824.0,Stanislaus,0.07524271844660194
2021-02-21,51.0,928.0,Stanislaus,0.05495689655172414
2021-02-22,113.0,3387.0,Stanislaus,0.03336285798641866
2021-02-23,102.0,2646.0,Stanislaus,0.03854875283446712
2021-02-24,78.0,2053.0,Stanislaus,0.03799318071115441
2021-02-25,71.0,1842.0,Stanislaus,0.03854505971769816
2021-02-26,91.0,1814.0,Stanislaus,0.050165380374862185
2021-02-27,56.0,755.0,Stanislaus,0.07417218543046358
2021-02-28,55.0,892.0,Stanislaus,0.061659192825112105
2021-03-01,91.0,3199.0,Stanislaus,0.028446389496717725
2021-03-02,74.0,2385.0,Stanislaus,0.0310272536687631
2021-03-03,87.0,2292.0,Stanislaus,0.03795811518324607
2021-03-04,78.0,1989.0,Stanislaus,0.0392156862745098
2021-03-05,87.0,1567.0,Stanislaus,0.05552010210593491
2021-03-06,51.0,703.0,Stanislaus,0.07254623044096728
2021-03-07,70.0,1016.0,Stanislaus,0.0688976377952756
2021-03-08,132.0,3579.0,Stanislaus,0.036881810561609385
2021-03-09,79.0,2508.0,Stanislaus,0.03149920255183413
2021-03-10,98.0,2112.0,Stanislaus,0.04640151515151515
2021-03-11,87.0,2251.0,Stanislaus,0.03864948911594847
2021-03-12,85.0,1661.0,Stanislaus,0.051173991571342566
2021-03-13,59.0,732.0,Stanislaus,0.08060109289617487
2021-03-14,51.0,826.0,Stanislaus,0.06174334140435835
2021-03-15,120.0,3177.0,Stanislaus,0.03777148253068933
2021-03-16,79.0,2202.0,Stanislaus,0.035876475930971846
2021-03-17,80.0,2273.0,Stanislaus,0.03519577650681918
2021-03-18,75.0,1894.0,Stanislaus,0.0395987328405491
2021-03-19,72.0,2386.0,Stanislaus,0.030176026823134954
2021-03-20,58.0,834.0,Stanislaus,0.06954436450839328
2021-03-21,56.0,864.0,Stanislaus,0.06481481481481481
2021-03-22,90.0,3486.0,Stanislaus,0.025817555938037865
2021-03-23,84.0,2374.0,Stanislaus,0.03538331929233361
2021-03-24,99.0,2431.0,Stanislaus,0.04072398190045249
2021-03-25,76.0,2023.0,Stanislaus,0.037567968363816116
2021-03-26,67.0,1678.0,Stanislaus,0.039928486293206195
2021-03-27,68.0,876.0,Stanislaus,0.0776255707762557
2021-03-28,65.0,996.0,Stanislaus,0.06526104417670683
2021-03-29,88.0,3794.0,Stanislaus,0.02319451765946231
2021-03-30,84.0,2469.0,Stanislaus,0.03402187120291616
2021-03-31,78.0,2116.0,Stanislaus,0.036862003780718335
2021-04-01,68.0,1928.0,Stanislaus,0.035269709543568464
